FIN_COA_CD,ACCOUNT_NBR,SUB_ACCT_NBR,ACTIVE
IT,1658333,5333,Y
IT,1088650,3650,Y
IT,1258320,5601,Y
IT,1478345,5601,Y
IT,1498501,5301,Y
IT,1658315,5315,Y
IT,1002451,2451,Y
IT,1003710,3112,Y
IT,1003710,3178,Y
IT,1003710,3179,Y
IT,1003710,3180,Y
IT,1003710,3181,Y
IT,1003710,3182,Y
IT,1003710,3183,Y
IT,1003710,3184,Y
IT,1003710,3185,Y
IT,1013722,145,Y
IT,1013722,146,Y
IT,1013722,147,Y
IT,1013722,148,Y
IT,1013740,1000,Y
IT,1013740,1001,Y
IT,1013740,1002,Y
IT,1013740,1003,Y
IT,1013740,1004,Y
IT,1018100,8101,Y
IT,1018100,8113,Y
IT,1018100,8122,Y
IT,1018100,R8100,Y
IT,1018100,R8103,Y
IT,1018100,R8105,Y
IT,1018100,R8108,Y
IT,1018100,R8111,Y
IT,1018100,R8121,Y
IT,1018100,R8208,Y
IT,1018100,R8527,Y
IT,1018110,8110,Y
IT,1018110,8202,Y
IT,1018110,8204,Y
IT,1018209,2100,Y
IT,1018209,2103,Y
IT,1018209,2105,Y
IT,1018209,2110,Y
IT,1018209,2120,Y
IT,1018209,2130,Y
IT,1018209,2140,Y
IT,1018209,2150,Y
IT,1018209,2160,Y
IT,1018209,2170,Y
IT,1018209,2180,Y
IT,1023715,97075,Y
IT,1023715,97080,Y
IT,1023715,97083,Y
IT,1023715,97094,Y
IT,1023715,97134,Y
IT,1023715,97262,Y
IT,1023715,97365,Y
IT,1023715,97407,Y
IT,1023715,97443,Y
IT,1023715,97457,Y
IT,1023715,97600,Y
IT,1023715,97601,Y
IT,1033700,3702,Y
IT,1033700,3711,Y
IT,1033700,3714,Y
IT,1033700,3715,Y
IT,1083403,35,Y
IT,1083403,40,Y
IT,1083403,45,Y
IT,1083403,70,Y
IT,1083403,307,Y
IT,1083403,311,Y
IT,1083403,333,Y
IT,1083403,358,Y
IT,1083403,402,Y
IT,1083403,415,Y
IT,1083403,602,Y
IT,1003710,3186,Y
IT,1003710,3188,Y
IT,1003710,3189,Y
IT,1003710,3190,Y
IT,1003710,3191,Y
IT,1003710,3192,Y
IT,1003710,3193,Y
IT,1003710,3509,Y
IT,1003724,10,Y
IT,1003724,11,Y
IT,1003724,12,Y
IT,1003724,13,Y
IT,1003724,14,Y
IT,1003724,15,Y
IT,1003724,16,Y
IT,1003724,17,Y
IT,1003724,18,Y
IT,1003724,19,Y
IT,1003724,20,Y
IT,1003724,21,Y
IT,1003724,22,Y
IT,1003724,23,Y
IT,1003724,24,Y
IT,1003724,25,Y
IT,1003724,26,Y
IT,1003724,27,Y
IT,1003724,28,Y
IT,1008121,29,Y
IT,1008121,30,Y
IT,1008121,31,Y
IT,1008121,32,Y
IT,1008121,33,Y
IT,1008121,34,Y
IT,1013707,148,Y
IT,1013719,101,Y
IT,1013719,102,Y
IT,1013719,103,Y
IT,1013719,104,Y
IT,1013719,105,Y
IT,1013719,106,Y
IT,1013719,107,Y
IT,1013719,108,Y
IT,1013719,110,Y
IT,1013719,111,Y
IT,1013719,112,Y
IT,1013719,113,Y
IT,1013719,114,Y
IT,1013719,115,Y
IT,1013719,116,Y
IT,1013719,117,Y
IT,1013719,118,Y
IT,1013719,119,Y
IT,1013719,120,Y
IT,1013719,121,Y
IT,1013719,122,Y
IT,1013719,123,Y
IT,1013719,124,Y
IT,1013719,125,Y
IT,1013719,126,Y
IT,1013719,127,Y
IT,1013719,128,Y
IT,1013719,129,Y
IT,1013719,130,Y
IT,1013719,131,Y
IT,1013719,132,Y
IT,1013719,133,Y
IT,1013719,134,Y
IT,1013719,135,Y
IT,1013719,136,Y
IT,1013719,137,Y
IT,1013719,138,Y
IT,1013719,139,Y
IT,1013719,140,Y
IT,1013719,141,Y
IT,1013719,142,Y
IT,1013719,143,Y
IT,1013719,144,Y
IT,1013719,146,Y
IT,1013719,147,Y
IT,1013719,148,Y
IT,1013719,149,Y
IT,1013720,101,Y
IT,1013720,102,Y
IT,1013720,103,Y
IT,1013720,104,Y
IT,1013720,105,Y
IT,1013720,106,Y
IT,1013720,107,Y
IT,1013720,108,Y
IT,1013720,110,Y
IT,1013720,111,Y
IT,1013720,112,Y
IT,1013720,113,Y
IT,1013720,114,Y
IT,1013720,115,Y
IT,1013720,116,Y
IT,1013720,117,Y
IT,1013720,118,Y
IT,1013720,119,Y
IT,1013720,120,Y
IT,1013720,121,Y
IT,1013720,122,Y
IT,1013720,123,Y
IT,1013720,124,Y
IT,1013720,125,Y
IT,1013720,126,Y
IT,1013720,127,Y
IT,1013720,128,Y
IT,1013720,129,Y
IT,1013720,130,Y
IT,1013720,131,Y
IT,1013720,132,Y
IT,1013720,133,Y
IT,1013720,134,Y
IT,1013720,135,Y
IT,1013720,136,Y
IT,1013720,137,Y
IT,1013720,138,Y
IT,1013720,139,Y
IT,1013720,140,Y
IT,1013720,141,Y
IT,1013720,142,Y
IT,1013720,143,Y
IT,1013720,144,Y
IT,1013720,146,Y
IT,1013720,147,Y
IT,1013720,148,Y
IT,1013720,149,Y
IT,1013722,101,Y
IT,1013722,102,Y
IT,1013722,103,Y
IT,1013722,104,Y
IT,1013722,105,Y
IT,1013722,106,Y
IT,1013722,107,Y
IT,1013722,108,Y
IT,1013722,110,Y
IT,1013722,111,Y
IT,1013722,112,Y
IT,1013722,113,Y
IT,1013722,114,Y
IT,1013722,115,Y
IT,1013722,116,Y
IT,1013722,117,Y
IT,1013722,118,Y
IT,1013722,119,Y
IT,1013722,120,Y
IT,1013722,121,Y
IT,1013722,122,Y
IT,1013722,123,Y
IT,1013722,124,Y
IT,1013722,125,Y
IT,1013722,126,Y
IT,1013722,127,Y
IT,1013722,128,Y
IT,1013722,129,Y
IT,1013722,130,Y
IT,1013722,131,Y
IT,1013722,132,Y
IT,1013722,133,Y
IT,1013722,134,Y
IT,1013722,135,Y
IT,1013722,136,Y
IT,1013722,137,Y
IT,1013722,138,Y
IT,1013722,139,Y
IT,1013722,140,Y
IT,1013722,141,Y
IT,1013722,142,Y
IT,1013722,143,Y
IT,1013722,144,Y
IT,A658370,4370,Y
IT,A818435,3130,Y
IT,A818435,4435,Y
IT,A888304,4351,Y
IT,E608388,8729,Y
IT,E708453,3040,Y
IT,E718362,3198,Y
IT,E888319,3319,Y
IT,E888555,3755,Y
IT,F508423,8723,Y
IT,G398338,3003,Y
IT,G398338,3004,Y
IT,1213101,84550,Y
IT,1213101,84570,Y
IT,1213101,84620,Y
IT,1213101,84640,Y
IT,1213101,84650,Y
IT,1213101,84660,Y
IT,1213101,84940,Y
IT,1213101,85310,Y
IT,1213101,85420,Y
IT,1213101,85440,Y
IT,1213101,85490,Y
IT,1213101,85510,Y
IT,1213101,86040,Y
IT,1213101,86050,Y
IT,1213101,86060,Y
IT,1213101,86080,Y
IT,1213101,86120,Y
IT,1213101,86180,Y
IT,1213101,86210,Y
IT,1213101,86300,Y
IT,1213101,86320,Y
IT,1213101,86330,Y
IT,1213101,86400,Y
IT,1213101,86410,Y
IT,1213101,86420,Y
IT,1213101,86500,Y
IT,1213101,86510,Y
IT,1213101,86520,Y
IT,1213101,86550,Y
IT,1213101,86650,Y
IT,1213101,86660,Y
IT,1213101,86670,Y
IT,1213101,86700,Y
IT,1213101,86940,Y
IT,1213101,87010,Y
IT,1213101,87020,Y
IT,1213101,87080,Y
IT,1213101,87100,Y
IT,1213101,87110,Y
IT,1213101,87120,Y
IT,1213101,87130,Y
IT,1213101,87140,Y
IT,1213101,87150,Y
IT,1213101,87170,Y
IT,1213101,87300,Y
IT,1213101,87350,Y
IT,1213101,87400,Y
IT,1213101,87440,Y
IT,1213101,87500,Y
IT,1213101,87510,Y
IT,1213101,87520,Y
IT,1213101,87620,Y
IT,1213101,87650,Y
IT,1213101,87670,Y
IT,1213103,846,Y
IT,1213105,826,Y
IT,1213105,846,Y
IT,1213105,857,Y
IT,1213105,858,Y
IT,1213105,901,Y
IT,1213105,902,Y
IT,1213105,981,Y
IT,1213107,84050,Y
IT,1213110,826,Y
IT,1213110,846,Y
IT,1213110,847,Y
IT,1213110,855,Y
IT,1213110,857,Y
IT,1213110,858,Y
IT,1213110,859,Y
IT,1213110,899,Y
IT,1213110,981,Y
IT,1213110,81000,Y
IT,1213110,81010,Y
IT,1213110,81020,Y
IT,1213110,81200,Y
IT,1213110,81210,Y
IT,1213110,81220,Y
IT,1213110,81230,Y
IT,1213110,82000,Y
IT,1213110,82010,Y
IT,1213110,82100,Y
IT,1213110,82200,Y
IT,1213110,82210,Y
IT,1213110,82220,Y
IT,1213110,82300,Y
IT,1213110,82400,Y
IT,1213110,82410,Y
IT,1213110,82500,Y
IT,1213110,82600,Y
IT,1213110,83020,Y
IT,1213110,83040,Y
IT,1213110,83200,Y
IT,1213110,83210,Y
IT,1213110,83220,Y
IT,1213110,83230,Y
IT,1213110,83240,Y
IT,1213110,83250,Y
IT,1213110,83260,Y
IT,1213110,83270,Y
IT,1213110,83280,Y
IT,1213110,83290,Y
IT,1213110,83300,Y
IT,1213110,83310,Y
IT,1213110,83330,Y
IT,1213110,83340,Y
IT,1213110,83350,Y
IT,1213110,83360,Y
IT,1213110,83370,Y
IT,1213110,83380,Y
IT,1213110,83400,Y
IT,1213110,83420,Y
IT,1213110,83440,Y
IT,1213110,83460,Y
IT,1213110,83470,Y
IT,1213110,84010,Y
IT,1213110,84020,Y
IT,1213110,84030,Y
IT,1213110,84040,Y
IT,1213110,84050,Y
IT,1213110,84060,Y
IT,1213110,84100,Y
IT,1213110,84110,Y
IT,1213110,84120,Y
IT,1213110,84130,Y
IT,1213110,84140,Y
IT,1213110,84150,Y
IT,1213110,84160,Y
IT,1213110,84170,Y
IT,1213110,84180,Y
IT,1213110,84190,Y
IT,1213110,84200,Y
IT,1213110,84210,Y
IT,1213110,84220,Y
IT,1213110,84230,Y
IT,1213110,84240,Y
IT,1213110,84250,Y
IT,1213110,84260,Y
IT,1213110,84270,Y
IT,1213110,84280,Y
IT,1213110,84290,Y
IT,1213110,84300,Y
IT,1213110,84310,Y
IT,1213110,84320,Y
IT,1213110,84330,Y
IT,1213110,84350,Y
IT,1213110,84360,Y
IT,1213110,84370,Y
IT,1213110,84400,Y
IT,1213110,84420,Y
IT,1213110,84430,Y
IT,1213110,84440,Y
IT,1213110,84450,Y
IT,1213110,84460,Y
IT,1213110,84470,Y
IT,1213110,84480,Y
IT,1213110,84490,Y
IT,1213110,84500,Y
IT,1213110,84510,Y
IT,1213110,84520,Y
IT,1213110,84530,Y
IT,1213110,84540,Y
IT,1213110,84550,Y
IT,1213110,84570,Y
IT,1213110,84620,Y
IT,1213110,84640,Y
IT,1213110,84650,Y
IT,1213110,84660,Y
IT,1213110,84940,Y
IT,1213110,85310,Y
IT,1213110,85420,Y
IT,1213110,85440,Y
IT,1213110,85490,Y
IT,1213110,85510,Y
IT,1213110,86040,Y
IT,1213110,86050,Y
IT,1213110,86060,Y
IT,1213110,86080,Y
IT,1213110,86120,Y
IT,1213110,86180,Y
IT,1213110,86210,Y
IT,1213110,86300,Y
IT,1213110,86320,Y
IT,1103701,100,Y
IT,1103783,101,Y
IT,1103783,201,Y
IT,1103783,202,Y
IT,1103783,203,Y
IT,1103783,301,Y
IT,1103783,303,Y
IT,1123605,11201,Y
IT,1123606,11202,Y
IT,1123613,11205,Y
IT,1123615,97032,Y
IT,1123625,97033,Y
IT,1123627,97036,Y
IT,1123646,11210,Y
IT,1123650,11207,Y
IT,1123660,97539,Y
